	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Diese Nation ärgert sich noch immer über die Schlacht, die sie gegen uns verloren hat."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_0  "Als Gegenleistung würden wir Ihnen gern die Neuerung {advance[0].name#NON_ABBREVIATED} überlassen."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_1  "Als Gegenleistung würden wir unser Wissen über {advance[0].name#ARTICLE_ACC} mit Ihnen teilen, auf dass Ihr Volk weiteren Fortschritt erfahren möge."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_2  "Als Gegenleistung würden wir zum Zeichen unserer Wertschätzung unser Wissen über {advance[0].name#ARTICLE_ACC} mit Ihnen teilen."
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_3  "Im Austausch würden wir Ihnen das Geheimnis {advance[0].name#ARTICLE_GEN} offenbaren. Allein würden Sie sicher Jahre brauchen, um diese Neuerung selbst entwickeln zu können!"
DIP_DETAILS_OFFER_GIVE_ADVANCE_EX_4  "Im Austausch würden wir Sie in die Geheimnisse {advance[0].name#ARTICLE_GEN} einweihen. Aber das ist dann auch alles!"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_0  "Bitte lassen Sie uns an Ihren wissenschaftlichen Forschungen teilhaben und weihen Sie uns in das Geheimnis {advance[0].name#ARTICLE_GEN} ein."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_1  "Wir sollten uns gegenseitig unterstützen. Bitte teilen Sie uns Ihre Erkenntnisse auf dem Gebiet {advance[0].name#ARTICLE_GEN} mit."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_2  "Würden Sie uns Ihre Erkenntnisse auf dem Gebiet {advance[0].name#ARTICLE_GEN} mitteilen und uns damit ermöglichen, Ihrem leuchtenden Vorbild zu folgen?"
DIP_DETAILS_REQUEST_GIVE_ADVANCE_3  "Zu Ihrem eigenen Besten sollten Sie das Geheimnis {advance[0].name#ARTICLE_GEN} mit uns teilen. Wir würden Ihre Großzügigkeit auch durchaus zu schätzen wissen."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_4  "Wir verlangen die Herausgabe Ihrer Forschungsergebnisse auf dem Gebiet {advance[0].name#ARTICLE_GEN}!! Derartig wertvolle Informationen sollten nicht nur Ihrem Volk allein vorbehalten sein."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_0  "Außerdem bitten wir Sie, uns Ihre Erkenntnisse auf dem Gebiet {advance[0].name#ARTICLE_GEN} zur Verfügung zu stellen, damit auch wir davon profitieren können."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_1  "Außerdem bitten wir Sie, uns als Geste der Freundschaft Zugang zu Ihren Forschungsergebnissen auf dem Gebiet {advance[0].name#ARTICLE_GEN} zu gewähren."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_2  "Außerdem hoffen wir auf Ihre grenzenlose Großzügigkeit: Bitte weihen Sie uns in die Geheimnisse {advance[0].name#ARTICLE_GEN} ein, damit auch wir davon profitieren können."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_3  "Außerdem bitten wir Sie, uns unverzüglich Ihren Kenntnisstand auf dem Gebiet {advance[0].name#ARTICLE_GEN} mitzuteilen."
DIP_DETAILS_REQUEST_GIVE_ADVANCE_EX_4  "Außerdem verlangen wir nachdrücklich, über Ihre Erkenntnisse auf dem Gebiet {advance[0].name#ARTICLE_GEN} informiert zu werden. Sie können eine derartige Technologie ohnehin nicht effizient nutzen und haben kein Recht, sie für sich allein zu behalten."
DIP_DETAILS_OFFER_GIVE_GOLD_0  "Wir würden Ihnen gern den Betrag von {gold[0].value} Gold zukommen lassen, um auch Ihr Volk an unserem Wohlstand teilhaben zu lassen."
DIP_DETAILS_OFFER_GIVE_GOLD_1  "Verehrte {player[1].civ_name_plural#DIRECT}, zum Zeichen unseres guten Willens möchten wir Ihnen mit Freuden eine Zahlung in Höhe von {gold[0].value} Gold zukommen lassen."
DIP_DETAILS_OFFER_GIVE_GOLD_2  "In Anbetracht unserer Hochachtung für Ihr Volk möchten wir Ihnen einen Betrag in Höhe von {gold[0].value} Gold zukommen lassen."
DIP_DETAILS_OFFER_GIVE_GOLD_3  "Wir sind bereit, Ihnen einen Betrag in Höhe von {gold[0].value} Gold zur Verfügung zu stellen, aber das wird keinesfalls zur Gewohnheit werden."
DIP_DETAILS_OFFER_GIVE_GOLD_4  "Wir sind bereit, Ihnen einen Betrag in Höhe von {gold[0].value} Gold zu überlassen. Das ist ja wohl mehr als großzügig."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_0  "Zum Ausgleich wären wir bereit, Ihnen eine finanzielle Unterstützung in Höhe von {gold[0].value} Gold zukommen zu lassen."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_1  "Ganz im Sinne der Wohltätigkeit wären wir bereit, Ihnen zum Ausgleich einen Betrag in Höhe von {gold[0].value} Gold zukommen zu lassen."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_2  "Als Gegenleistung würden wir Sie gern mit {gold[0].value} Gold unterstützen und hoffen, dass dieser Betrag ausreichen wird, um Sie zu erfreuen."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_3  "Im Austausch bieten wir Ihnen eine finanzielle Unterstützung in Höhe von {gold[0].value} Gold an."
DIP_DETAILS_OFFER_GIVE_GOLD_EX_4  "Dafür würden wir Sie mit {gold[0].value} Gold unterstützen. Das sollte ja wohl reichen."
DIP_DETAILS_REQUEST_GIVE_GOLD_0  "Ein so großzügiges und wohlhabendes Volk wie das Ihre ist doch bestimmt bereit, uns in diesen schwierigen Zeiten mit {gold[0].value} Gold zu unterstützen, oder?"
DIP_DETAILS_REQUEST_GIVE_GOLD_1  "Wir appellieren an Ihre Großzügigkeit und bitten Sie zur Förderung unserer guten Beziehungen um Ihre finanzielle Unterstützung in Höhe von {gold[0].value} Gold."
DIP_DETAILS_REQUEST_GIVE_GOLD_2  "Wir flehen Sie an: Haben Sie Mitleid und unterstützen Sie uns in Zeiten großer Not mit einem Betrag in Höhe von {gold[0].value} Gold."
DIP_DETAILS_REQUEST_GIVE_GOLD_3  "Unser Wohlwollen ist nicht umsonst zu haben, daher müssen wir Sie bitten, uns einen Betrag in Höhe von {gold[0].value} Gold zukommen zu lassen."
DIP_DETAILS_REQUEST_GIVE_GOLD_4  "Zahlen Sie uns die Summe von {gold[0].value} Gold oder Sie werden unseren Zorn zu spüren bekommen. Es wäre unklug, unsere Geduld auf die Probe zu stellen!"
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_0  "Außerdem bitten wir Sie zwecks Förderung der Beziehungen zwischen unseren großartigen Reichen um die Zahlung eines Betrages in Höhe von {gold[0].value} Gold."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_1  "Außerdem bitten wir Sie freundlichst um die Zahlung eines Betrages in Höhe von {gold[0].value} Gold, sozusagen als Geste Ihres guten Willens."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_2  "Außerdem flehen wir Sie an, uns einen Betrag in Höhe von {gold[0].value} Gold zukommen zu lassen, damit die Versorgung unserer Kinder auch weiterhin gesichert ist."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_3  "Außerdem bitten wir Sie um die Zahlung von {gold[0].value} Gold als kleine Entschädigung dafür, dass wir uns mit einem so jämmerlichen Volk wie dem Ihren herumschlagen müssen."
DIP_DETAILS_REQUEST_GIVE_GOLD_EX_4  "Außerdem verlangen wir zum Beweis Ihrer Ergebenheit unserem Volk gegenüber einen Betrag in Höhe von {gold[0].value} Gold."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_0  "Wir sind bereit, Sie durch die Zahlung von {gold[0].value} Gold pro Runde zu unterstützen, damit Ihre Nation weiterhin wachsen und gedeihen kann."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_1  "Wegen unseres freundschaftlichen Völkerverhältnisses bieten wir Ihnen eine Tributzahlung in Höhe von {gold[0].value} Gold pro Runde an."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_2  "Wir sind bereit, pro Runde eine Tributzahlung in Höhe von {gold[0].value} Gold an Sie zu entrichten und hoffen, dadurch das Vertrauen Ihres Volkes gewinnen zu können."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_3  "Wir sind bereit, Ihnen pro Runde einen Tribut in Höhe von {gold[0].value} Gold zu zahlen."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_4  "Wir sind bereit, Ihnen pro Runde eine Tributzahlung in Höhe von {gold[0].value} Gold zukommen zu lassen."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_0  "Zum Ausgleich würden wir pro Runde einen Tribut in Höhe von {gold[0].value} Gold an Sie entrichten, damit der Fortschritt Ihrer Nation gewährleistet ist."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_1  "Im Austausch bieten wir Ihrer hoch geschätzten Nation mit Freuden eine Tributzahlung in Höhe von {gold[0].value} Gold pro Runde an."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_2  "Dafür bieten wir Ihnen in aller Demut die Zahlung eines Tributs in Höhe von {gold[0].value} Gold pro Runde an und hoffen, Sie damit zufrieden stellen zu können."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_3  "Als Gegenleistung würden wir uns bereit erklären, Sie in jeder Runde mit {gold[0].value} Gold zu unterstützen. Für eine Tributzahlung ist das sicherlich mehr als genug."
DIP_DETAILS_OFFER_GIVE_ANNUAL_GOLD_EX_4  "Als Gegenleistung würden wir pro Runde einen Tribut in Höhe von {gold[0].value} Gold an Sie entrichten, obwohl Ihr Volk so viel Großzügigkeit gar nicht wert ist!"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_0  "Wir bitten Sie um eine Tributzahlung von {gold[0].value} Gold pro Runde, nicht zuletzt auch, um Ihr Ansehen bei unserer Bevölkerung zu verbessern."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_1  "Wir bitten Sie, zum Zeichen Ihres guten Willens und unserer Völkerfreundschaft pro Runde eine Tributzahlung in Höhe von {gold[0].value} Gold an uns zu entrichten."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_2  "Wir bitten Sie ergebenst um die Zahlung eines Tributs in Höhe von {gold[0].value} Gold pro Runde. Bitte gewähren Sie uns in diesen Zeiten der Not Ihre gnädige Hilfe."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_3  "Damit wir Ihre Existenz überhaupt tolerieren können, fordern wir eine Tributzahlung in Höhe von {gold[0].value} Gold pro Runde."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_4  "Wir verlangen, dass Sie pro Runde einen Tribut in Höhe von {gold[0].value} Gold an uns entrichten. Halten Sie sich besser daran!"
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_0  "Außerdem müssen wir Sie um die Zahlung eines Tributs bitten: {gold[0].value} Gold pro Runde würden uns von Ihrer Dankbarkeit überzeugen."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_1  "Außerdem bitten wir Sie um die Zahlung von {gold[0].value} Gold pro Runde. Diese Geste würde uns viel bedeuten."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_2  "Außerdem sind wir gezwungen, Sie um die Zahlung eines Tributs von {gold[0].value} Gold pro Runde zu ersuchen. Haben Sie Mitleid mit uns."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_3  "Außerdem bitten wir Sie eindringlich, unser mit einer Summe von {gold[0].value} Gold pro Runde zu unterstützen."
DIP_DETAILS_REQUEST_GIVE_ANNUAL_GOLD_EX_4  "Außerdem verlangen wir eine Tributzahlung von {gold[0].value} Gold pro Runde. Je schneller Sie sich daran halten, desto besser."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_0  "Zum Wohle der Umwelt sind wir bereit, die Umweltverschmutzung in unserem Reich mindestens auf {value[0].value} zu reduzieren."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_1  "Wir sind bereit, die Welt wieder lebenswerter zu machen, indem wir unsere Umweltverschmutzung mindestens auf {value[0].value} senken."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_2  "Wir sind bereit, unsere Umweltverschmutzung mindestens auf {value[0].value} zu senken, zum Wohle unserer Nachbarvölker."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_3  "Wir sind bereit, für bessere Luft in unseren Städten zu sorgen, indem wir unsere Umweltverschmutzung mindestens auf {value[0].value} senken."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_4  "Wir sind bereit, die Umweltverschmutzung in unserem Reich mindestens auf {value[0].value} zu senken. Damit sollten Sie sich zufrieden geben."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_0  "Außerdem würden wir die Umweltverschmutzung in unserem Reich mit Freuden mindestens auf {value[0].value} reduzieren."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_1  "Um Verantwortung zu zeigen, würden wir im Austausch die Umweltverschmutzung in unserem Reich mindestens auf {value[0].value} senken."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_2  "Dafür würden wir schnellstens unsere Umweltverschmutzung mindestens auf {value[0].value} senken und damit Ihren Standards entsprechen."
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_3  "Dafür würden wir unsere Umweltverschmutzung mindestens auf {value[0].value} senken. Mehr kann man ja wohl nicht verlangen!"
DIP_DETAILS_OFFER_REDUCE_POLLUTION_EX_4  "Dafür würden wir die Umweltverschmutzung in unserem Reich mindestens auf {value[0].value} senken. Das ist unser letztes Wort."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_0  "Beweisen Sie Ihr Engagement für eine saubere Umwelt und reduzieren Sie Ihre Umweltverschmutzung mindestens auf {value[0].value}."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_1  "Wir bitten Sie freundlichst, Ihre Umweltverschmutzung zu reduzieren. Der Mindestgrenzwert von {value[0].value} sollte ausreichen."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_2  "Wir beschwören Sie: Senken Sie Ihre Umweltverschmutzung mindestens auf {value[0].value}! Unsere Zukunft hängt davon ab."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_3  "Wir fordern, dass Sie Ihre Umweltverschmutzung mindestens auf {value[0].value} senken. Sie gefährden die Ressourcen dieser Welt!"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_4  "Senken Sie die Umweltverschmutzung in Ihrem Reich mindestens auf {value[0].value}! Wir werden Ihr ignorantes Verhalten nicht länger tolerieren!"
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_0  "Außerdem bitten wir Sie um die Reduzierung Ihrer Umweltverschmutzung mindestens auf {value[0].value}. Nur so kann unsere Welt gedeihen."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_1  "Außerdem flehen wir Sie in aller Freundschaft an, Ihre Umweltverschmutzung mindestens auf {value[0].value} zu senken."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_2  "Außerdem bitten wir Sie, Ihre Umweltverschmutzung mindestens auf {value[0].value} zu senken. Unsere Kinder werden es Ihnen danken."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_3  "Außerdem bestehen wir darauf, dass Sie Ihre Umweltverschmutzung mindestens auf {value[0].value} senken. Ignoranz bringt Sie auf Dauer nicht weiter."
DIP_DETAILS_REQUEST_REDUCE_POLLUTION_EX_4  "Außerdem verlangen wir, dass Sie Ihre Umweltverschmutzung mindestens auf {value[0].value} senken! Keine weitere Diskussion!"
DIP_DETAILS_OFFER_MAP_0  "Wir sind bereit, Ihnen unsere Karte zu überlassen, damit auch Sie von unseren Erkundungsstreifzügen profitieren können."
DIP_DETAILS_OFFER_MAP_1  "Zum Zeichen unserer Hochachtung für Ihr Volk sind wir bereit, Ihnen unsere Karte zu offenbaren."
DIP_DETAILS_OFFER_MAP_2  "Wir hoffen, dass wir eine so mächtige Nation wie die Ihre mit dem Angebot, unsere Karte offen zu legen, erfreuen können."
DIP_DETAILS_OFFER_MAP_3  "Wir sind bereit, Ihnen unsere Karte zur Verfügung stellen, damit Sie sich ebenfalls an der ganzen Pracht unseres Reiches erfreuen können!"
DIP_DETAILS_OFFER_MAP_4  "Wir sind bereit, Ihnen unsere Karte zu überlassen - obwohl uns bewusst ist, dass Sie vermutlich zu einfältig sind, um sie wirklich gut nutzen zu können."
DIP_DETAILS_OFFER_MAP_EX_0  "Dafür würden wir Ihnen die gesamte Karte unseres Reiches zur Verfügung stellen, damit Sie wissen, wo unsere Landesgrenzen liegen."
DIP_DETAILS_OFFER_MAP_EX_1  "Zum Zeichen unserer Freundschaft würden wir Ihnen im Austausch unsere Karte überlassen."
DIP_DETAILS_OFFER_MAP_EX_2  "Als Gegenleistung würden wir Ihnen untertänigst Einsicht in unsere Karte gewähren."
DIP_DETAILS_OFFER_MAP_EX_3  "Als Gegenleistung würden wir Ihnen das Privileg gewähren, unsere Karte zu benutzen. Vielleicht können Sie sie ja gebrauchen."
DIP_DETAILS_OFFER_MAP_EX_4  "Zum Ausgleich würden wir Ihnen Einsicht in unsere Karte gewähren."
DIP_DETAILS_REQUEST_MAP_0  "Würden Sie uns bitte Einsicht in Ihre Karte gewähren, damit auch wir von der Arbeit Ihrer unübertroffenen Kundschafter profitieren können?"
DIP_DETAILS_REQUEST_MAP_1  "Geschätzte {player[1].civ_name_plural#DIRECT}, wären Sie so freundlich, uns Einsicht in Ihre Karte zu gewähren?"
DIP_DETAILS_REQUEST_MAP_2  "Würden Sie uns Einsicht in Ihre Karte gewähren, damit wir die wahren Ausmaße Ihres beeindruckenden Reiches erkennen können?"
DIP_DETAILS_REQUEST_MAP_3  "Zeigen Sie uns Ihre Karte, damit wir die Grenzen Ihres Reiches erkennen können."
DIP_DETAILS_REQUEST_MAP_4  "Zeigen Sie uns umgehend das gesamte Gebiet Ihrer kläglichen Nation!! Überlassen Sie uns Ihre Karte!!"
DIP_DETAILS_REQUEST_MAP_EX_0  "Außerdem bitten wir Sie um Einsicht in die Karte Ihrer Nation."
DIP_DETAILS_REQUEST_MAP_EX_1  "Außerdem bitten wir Sie, uns Ihre Karte zu offenbaren, damit auch wir von den Erkenntnissen Ihrer Kundschafter profitieren können."
DIP_DETAILS_REQUEST_MAP_EX_2  "Außerdem bitten wir Sie um das Privileg, Ihre Karte einsehen zu dürfen, damit wir mehr über unsere Umgebung erfahren."
DIP_DETAILS_REQUEST_MAP_EX_3  "Außerdem wünschen wir, Einblick in Ihre Karte zu erhalten, damit wir sehen, welche Gebiete Ihre Kundschafter schon entdeckt haben."
DIP_DETAILS_REQUEST_MAP_EX_4  "Außerdem verlangen wir die vollständige Offenlegung Ihrer Karte. Sollten Sie uns die Einsicht verweigern, so müssen wir dies als Akt der Beleidigung werten."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_0  "Wir halten unser Wort und sind daher entsprechend unserem Militärabkommen bereit, {player[2].country_name#NOM_SMALL} anzugreifen."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_1  "Entsprechend unserem Militärabkommen sind wir bereit, {player[2].country_name#NOM_SMALL} anzugreifen, um Ihre Nation zu verteidigen."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_2  "Wir sind bereit, {player[2].country_name#NOM_SMALL} anzugreifen und damit das mit Ihnen geschlossene Militärabkommen einzuhalten."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_3  "Wir sind entsprechend unserem Militärabkommen bereit, {player[2].country_name#NOM_SMALL} anzugreifen."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_4  "Wir sind bereit, {player[2].country_name#NOM_SMALL} unverzüglich anzugreifen, denn wir gehören keinesfalls zu denen, die ihr Wort brechen!"
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_0  "Dafür sind wir entsprechend dem mit Ihnen geschlossenen Abkommen bereit, die {player[2].civ_name_plural} anzugreifen."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_1  "Dafür sind wir bereit, Sie absprachegemäß militärisch zu unterstützen und die {player[2].civ_name_plural} anzugreifen. Dazu sind Freunde schließlich da."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_2  "Dafür sind wir bereit, ab sofort entsprechend unserem Militärabkommen zu handeln und umgehend die {player[2].civ_name_plural} anzugreifen."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_3  "Dafür sind wir bereit, uns an das mit Ihnen unterzeichnete Militärabkommen zu halten und die {player[2].civ_name_plural} anzugreifen. Wir halten immer unser Wort."
DIP_DETAILS_OFFER_HONOR_MILITARY_AGREEMENT_EX_4  "Dafür sind wir bereit, die {player[2].civ_name_plural} anzugreifen, wie wir es in unserem Militärabkommen vereinbart haben."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_0  "Bitte halten Sie sich an unser Militärabkommen und greifen Sie die {player[2].civ_name_plural} an. Zurzeit genießt Ihre Nation ein sehr gespaltenes Ansehen in unserer Bevölkerung."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_1  "Freunde, bitte halten Sie sich an unser Militärabkommen und greifen Sie die {player[2].civ_name_plural} an. Sie haben versprochen, uns zu schützen und wir hoffen, Sie halten Wort."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_2  "Wir flehen Sie an: Halten Sie sich an unser Militärabkommen und greifen Sie die {player[2].civ_name_plural} an. Wir brauchen Ihre Hilfe!"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_3  "Wir fordern Sie dringend auf, Ihr Wort zu halten. Wir haben ein Militärabkommen geschlossen und erwarten, dass Sie auch danach handeln! Greifen Sie sofort die {player[2].civ_name_plural} an!"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_4  "Wir verlangen, dass Sie sich an das mit uns geschlossene Abkommen halten. Greifen Sie unverzüglich die {player[2].civ_name_plural} an!"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_0  "Außerdem bitten wir Sie, das mit uns geschlossene Militärabkommen einzuhalten und die {player[2].civ_name_plural} anzugreifen. Wir sind einig geworden und erwarten, dass Sie auch danach handeln."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_1  "Außerdem bitten wir Sie, unser Militärabkommen einzuhalten und die {player[2].civ_name_plural} anzugreifen. Oder wollen Sie unsere freundschaftlichen Beziehungen gefährden?"
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_2  "Außerdem bitten wir Sie, sich an das mit uns geschlossene Militärabkommen zu halten, indem Sie die {player[2].civ_name_plural} angreifen."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_3  "Außerdem raten wir Ihnen, Ihr Wort zu halten. Wir haben ein Militärabkommen geschlossen und erwarten, dass Sie danach handeln, indem Sie die {player[2].civ_name_plural} angreifen."
DIP_DETAILS_REQUEST_HONOR_MILITARY_AGREEMENT_EX_4  "Außerdem verlangen wir, dass Sie sich an unser Militärabkommen halten und die {player[2].civ_name_plural} angreifen. Ein Verrat Ihrerseits würde verheerende Folgen haben."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_0  "Wir sind bereit, gemäß unserem Abkommen zu handeln und unsere Umweltverschmutzung unter {value[0].value} zu senken."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_1  "Wir sind bereit, unsere Umweltverschmutzung unter {value[0].value} zu senken und damit unser Abkommen einzuhalten."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_2  "Wir sind bereit, unserem Abkommen zu entsprechen und unsere Umweltverschmutzung unter {value[0].value} zu senken."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_3  "Wir halten unser Wort und daher sind wir bereit, unsere Umweltverschmutzung vereinbarungsgemäß unter {value[0].value} senken."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_4  "Wir sind bereit, uns an das Abkommen zu halten: Unsere Umweltverschmutzung wird den Wert {value[0].value} nicht mehr übersteigen."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_0  "Dafür sind wir bereit, alles zu versuchen, um unsere Umweltverschmutzung unter {value[0].value} zu senken."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_1  "Dafür würden wir uns an unser Abkommen halten und unsere Umweltverschmutzung unter {value[0].value} senken."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_2  "Dafür würden wir uns an unser Abkommen halten und unsere Umweltverschmutzung unter {value[0].value} senken."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_3  "Dafür würden wir unser Abkommen einhalten: Obwohl es viel verlangt ist, wird unsere Umweltverschmutzung unter {value[0].value} bleiben."
DIP_DETAILS_OFFER_HONOR_POLLUTION_AGREEMENT_EX_4  "Dafür würden wir unser Wort halten: Die Umweltverschmutzung in unserem Reich wird unter {value[0].value} bleiben."

DIP_DETAILS_OFFER_END_EMBARGO_0 "Wir sind bereit, unser Handelsembargo gegen Sie aufzuheben. Unsere Nationen sollten sich in wirtschaftlicher Hinsicht gegenseitig unterstützen."
DIP_DETAILS_OFFER_END_EMBARGO_1 "Natürlich heben wir gern das Handelembargo gegen Sie auf. Es lag nicht in unserer Absicht, Sie zu verärgern."
DIP_DETAILS_OFFER_END_EMBARGO_2 "Wir werden unser Handelsembargo gegen Sie schnellstmöglich aufheben. Es lag nicht in unserer Absicht, Sie zu verärgern."
DIP_DETAILS_OFFER_END_EMBARGO_3 "Wir werden unser Handelsembargo gegen Ihre Nation aufheben."
DIP_DETAILS_OFFER_END_EMBARGO_4 "Obwohl Sie es nicht verdient haben, werden wir das gegen Ihre Nation verhängte Handelsembargo aufheben."
DIP_DETAILS_OFFER_END_EMBARGO_EX_0 "Im Austausch wären wir bereit, unser Handelsembargo gegen Ihre Nation aufzuheben."
DIP_DETAILS_OFFER_END_EMBARGO_EX_1 "Dafür würden wir unsere Handelsbeziehungen zu Ihrer Nation wiederaufnehmen und unser Handelsembargo zu beenden."
DIP_DETAILS_OFFER_END_EMBARGO_EX_2 "Im Austausch wären wir bereit, unser unseliges Handelsembargo gegen Ihre Nation möglichst umgehend aufzuheben."
DIP_DETAILS_OFFER_END_EMBARGO_EX_3 "Im Austausch wären wir bereit, unser Handelsembargo gegen Ihre Nation aufzuheben."
DIP_DETAILS_OFFER_END_EMBARGO_EX_4 "Als Gegenleistung würden wir unser Handelsembargo gegen Ihre Nation beenden."
DIP_DETAILS_REQUEST_END_EMBARGO_0 "Wir bitten Sie feierlich, das Handelsembargo gegen unsere Nation aufzuheben."
DIP_DETAILS_REQUEST_END_EMBARGO_1 "Wir bitten Sie, das Handelsembargo gegen uns zu beenden. Können wir nicht freundschaftlicher miteinander umgehen?"
DIP_DETAILS_REQUEST_END_EMBARGO_2 "Wir wären Ihnen sehr verbunden, wenn Sie das Handelsembargo gegen unsere Nation aufheben würden."
DIP_DETAILS_REQUEST_END_EMBARGO_3 "Wir müssen Sie bitten, das Handelsembargo gegen uns aufzuheben. Es wäre klüger, wenn Sie Handel mit uns treiben würden."
DIP_DETAILS_REQUEST_END_EMBARGO_4 "Wir sind Ihre Versuche, unsere Wirtschaft zu schwächen, ziemlich satt. Beenden Sie sofort das Handelsembargo gegen uns!"
DIP_DETAILS_REQUEST_END_EMBARGO_EX_0 "Im Austausch bitten wir Sie, Ihr Handelsembargo gegen uns zu beenden. Stattdessen könnten wir in vielfacher Hinsicht voneinander profitieren."
